scope,name,path,lines,decision
archive,speckit-analyze,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-analyze/SKILL.md,193,leave_archived
archive,speckit-checklist,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-checklist/SKILL.md,303,leave_archived
archive,speckit-clarify,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-clarify/SKILL.md,186,leave_archived
archive,speckit-constitution,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-constitution/SKILL.md,89,leave_archived
archive,speckit-implement,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-implement/SKILL.md,144,leave_archived
archive,speckit-plan,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-plan/SKILL.md,91,leave_archived
archive,speckit-specify,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-specify/SKILL.md,260,leave_archived
archive,speckit-tasks,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-tasks/SKILL.md,137,leave_archived
archive,speckit-taskstoissues,/Users/alexjordan/Documents/Developer/agent-setup/archive/speckit-taskstoissues/SKILL.md,37,leave_archived
archive,tailwindcss-mobile-first,/Users/alexjordan/Documents/Developer/agent-setup/archive/tailwindcss-mobile-first/SKILL.md,768,leave_archived
archive,thermo-nuclear-code-quality-review,/Users/alexjordan/Documents/Developer/agent-setup/archive/thermo-nuclear-code-quality-review/SKILL.md,185,leave_archived
archive,use-loop,/Users/alexjordan/Documents/Developer/agent-setup/archive/use-loop/SKILL.md,207,leave_archived
archive,using-superpowers,/Users/alexjordan/Documents/Developer/agent-setup/archive/using-superpowers/SKILL.md,87,leave_archived
archive,wevehiculegen2-as-simulator,/Users/alexjordan/Documents/Developer/agent-setup/archive/wevehiculegen2-as-simulator/SKILL.md,42,leave_archived
global_or_system,editor,/Users/alexjordan/.agents/skills/editor/SKILL.md,86,see_report
global_or_system,ego-browser,/Users/alexjordan/.agents/skills/ego-browser/SKILL.md,466,see_report
global_or_system,portly,/Users/alexjordan/.agents/skills/portly/SKILL.md,83,see_report
global_or_system,ego-browser,/Users/alexjordan/.claude/skills/ego-browser/SKILL.md,466,see_report
global_or_system,install-anti-slop,/Users/alexjordan/.claude/skills/install-anti-slop/SKILL.md,91,see_report
global_or_system,no-ai-slop,/Users/alexjordan/.claude/skills/no-ai-slop/SKILL.md,97,see_report
global_or_system,imagegen,/Users/alexjordan/.codex/skills/.system/imagegen/SKILL.md,315,see_report
global_or_system,openai-docs,/Users/alexjordan/.codex/skills/.system/openai-docs/SKILL.md,38,see_report
global_or_system,plugin-creator,/Users/alexjordan/.codex/skills/.system/plugin-creator/SKILL.md,249,see_report
global_or_system,review-agent,/Users/alexjordan/.codex/skills/.system/review-agent/SKILL.md,57,see_report
global_or_system,skill-creator,/Users/alexjordan/.codex/skills/.system/skill-creator/SKILL.md,229,see_report
global_or_system,skill-installer,/Users/alexjordan/.codex/skills/.system/skill-installer/SKILL.md,58,see_report
global_or_system,frontend-skill,/Users/alexjordan/.codex/skills/frontend-skill/SKILL.md,184,see_report
global_or_system,playwright,/Users/alexjordan/.codex/skills/playwright/SKILL.md,147,see_report
global_or_system,remote-app-network-rescue,/Users/alexjordan/.codex/skills/remote-app-network-rescue/SKILL.md,87,see_report
global_or_system,show-me,/Users/alexjordan/.codex/skills/show-me/SKILL.md,127,see_report
global_or_system,install-anti-slop,/Users/alexjordan/.cursor/skills/install-anti-slop/SKILL.md,91,see_report
global_or_system,no-ai-slop,/Users/alexjordan/.cursor/skills/no-ai-slop/SKILL.md,97,see_report
global_or_system,thermo-nuclear-code-quality-review,/Users/alexjordan/.cursor/skills/thermo-nuclear-code-quality-review/SKILL.md,192,see_report
global_or_system,ego-browser,/Users/alexjordan/.grok/skills/ego-browser/SKILL.md,466,see_report
hermes,apple-notes,/Users/alexjordan/.hermes/skills/apple/apple-notes/SKILL.md,94,see_report
hermes,apple-reminders,/Users/alexjordan/.hermes/skills/apple/apple-reminders/SKILL.md,130,see_report
hermes,findmy,/Users/alexjordan/.hermes/skills/apple/findmy/SKILL.md,131,see_report
hermes,imessage,/Users/alexjordan/.hermes/skills/apple/imessage/SKILL.md,102,see_report
hermes,claude-code,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/claude-code/SKILL.md,745,see_report
